"","hit","px","pz"
"386",1,-98.875,40.21
"387",2,-97.595,42.06
"388",2,-97.36,42.275
"389",1,-97.7,42.3
"390",2,-96.515,42.81
"391",2,-96.21,41.56
"392",1,-94.575,43.865
"393",2,-94.93,42.795
"394",2,-94.025,42.585
"395",3,-94.475,42.7
"396",2,-92.835,41.645
"397",1,-94.035,42.175
"398",0,-97.06,38.61
"399",4,-83.51,41.78
"400",4,-82.81,41.36
"401",3,-83.89,42.225
"402",3,-83.69,42.59
"403",2,-83.48,44.39
"404",5,-83.635,43.135
"405",4,-82.84,43.14
"406",4,-71.845,42.385
"407",3,-71.485,42.11
"408",1,-104.755,42.75
"409",1,-79.36,36.58
"410",2,-101.385,43.65
"411",2,-97.925,45.54
"412",1,-97.275,43.775
"413",1,-98.55,36.625
"414",2,-96.985,38.6
"415",1,-98.4,39.44
"416",1,-98,35
"417",1,-75.835,40.135
"418",2,-104.9,47.405
"419",2,-92.665,41.365
"420",1,-89.535,46.79
"421",1,-102.375,41.42
"422",1,-106.225,41.33
"423",2,-90,29.985
"424",1,-103.585,41.875
"425",1,-97.29,41.515
"426",1,-103.81,42.73
"427",1,-91.025,38.45
"428",1,-96.75,39.735
"429",2,-96.725,40.08
"430",1,-79.26,33.385
"431",0,-99.76,33.42
"432",2,-98.5,33.93
"433",1,-104.44,39.8
"434",2,-76.63,40.66
"435",2,-97.045,27.85
"436",2,-95.675,31.785
"437",2,-91.915,30.235
"438",3,-97.9,29.515
"439",3,-96.985,30.515
"440",1,-94.885,31.44
"441",1,-97.07,34.375
"442",4,-92.685,31.445
"443",3,-90.95,32.825
"444",2,-92.61,32.85
"445",2,-91.78,33.05
"446",2,-91.965,32.875
"447",5,-90.84,32.375
"448",2,-91.615,33.175
"449",2,-90.78,34.24
"450",2,-84.215,30.635
"451",1,-81.525,30.315
"452",2,-88.725,33.385
"453",1,-88.395,33.415
"454",2,-98.665,32.235
"455",1,-95.275,32.965
"456",2,-95.435,30.385
"457",2,-89.44,31.48
"458",2,-89.115,32.525
"459",1,-79.865,35.25
"460",2,-90.665,34.535
"461",1,-86.735,32.975
"462",1,-89.62,40.03
"463",3,-84.98,32.35
"464",3,-85.025,32.34
"465",3,-84.975,32.36
"466",3,-83.995,32.7
"467",1,-84.165,32.615
"468",1,-83.785,32.6
"469",2,-98.535,35.205
"470",2,-97.085,36.95
"471",2,-95.375,37.835
"472",1,-96.11,36.025
"473",1,-96.775,33.15
"474",1,-93.785,36.64
"475",1,-94.285,37.515
"476",1,-94.86,36.35
"477",2,-95.11,36.475
"478",3,-94.115,36.415
"479",1,-93.83,36.82
"480",1,-93.99,36.82
"481",2,-94.31,36.66
"482",1,-92.825,37.2
"483",1,-93.225,36.995
"484",4,-92.155,37.385
"485",2,-90.725,38.475
"486",3,-90.615,38.865
"487",2,-83.08,34.145
"488",4,-95.325,40.585
"489",4,-95.355,40.565
"490",2,-94.5,42.065
"491",4,-95.295,40.6
"492",3,-95.2,40.635
"493",2,-94.775,40.695
"494",2,-96.845,39.23
"495",1,-95.915,39.36
"496",2,-86.825,38.25
"497",2,-90.315,43.15
"498",2,-88.505,43.715
"499",1,-88.5,43.11
"500",3,-88.085,41.065
"501",1,-84.16,34.37
"502",0,-92.56,30.26
"503",2,-92.12,33.525
"504",2,-93.84,30.67
"505",1,-95.525,29.85
"506",2,-89.13,44.015
"507",2,-85.695,31.385
"508",3,-100.075,40.575
"509",2,-77.105,39.815
"510",1,-91.225,44.04
"511",1,-90.775,42.85
"512",2,-95.235,43.01
"513",2,-99.95,31.65
"514",2,-88.315,34.385
"515",2,-99.525,35.96
"516",1,-99.735,32.635
"517",2,-98.1,35.965
"518",1,-97.95,31.885
"519",1,-97.755,29.99
"520",3,-96.46,30.95
"521",2,-96.795,30.15
"522",2,-96.325,30.64
"523",2,-94.61,31.31
"524",3,-94.07,33.22
"525",3,-94.385,33.045
"526",3,-93.865,33.44
"527",3,-94.505,33.49
"528",3,-93.735,33.345
"529",3,-93.74,33.53
"530",3,-94.2,35.865
"531",1,-93.525,35.465
"532",1,-93.86,36.625
"533",2,-93.465,31.54
"534",2,-92.805,38.45
"535",2,-91.225,41.25
"536",2,-90.945,36.07
"537",2,-92,39.8
"538",2,-91.65,42.07
"539",4,-91.46,42.64
"540",2,-91.15,42.335
"541",4,-99.32,34.315
"542",4,-99.45,34.09
"543",4,-99.05,34.425
"544",3,-98.545,34.29
"545",2,-98.405,35.06
"546",2,-96.875,36.275
"547",3,-97.965,34.65
"548",3,-98.185,34.185
"549",4,-96.945,35.585
"550",2,-96.365,35.095
"551",2,-96.58,35.265
"552",2,-95.675,37.26
"553",2,-95.2,37.155
"554",2,-96.485,35.41
"555",2,-95.725,35.075
"556",2,-98.14,33.56
"557",2,-94.95,32.53
"558",1,-86.99,37.44
"559",2,-89.045,36.415
"560",0,-77.625,39.325
"561",0,-77.625,39.305
"562",0,-77.63,39.3
"563",1,-103.215,32.195
"564",0,-98.53,32.21
"565",2,-97.75,43.625
"566",2,-97.465,43.815
"567",2,-88.275,41.81
"568",2,-96.055,42.835
"569",2,-92.825,38.185
"570",1,-102.66,32.125
"571",4,-97.505,41.89
"572",2,-95.22,40.415
"573",2,-87.915,40.775
"574",2,-95.125,37.665
"575",2,-95.125,37.665
"576",2,-86.135,42.35
"577",2,-84.01,37.365
"578",2,-79.765,40.935
"579",2,-79.525,41.24
"580",2,-102.235,30.915
"581",3,-100.225,33.945
"582",2,-99.575,33.64
"583",3,-98.62,33.95
"584",1,-93.44,39.81
"585",2,-95.66,33.425
"586",2,-89.125,32.525
"587",2,-103.485,41.305
"588",1,-101.725,42.015
"589",1,-97.125,34.575
"590",4,-94.645,42.33
"591",1,-100.77,37.565
"592",2,-80.21,40.815
"593",0,-103.555,29.345
"594",0,-98.53,38.885
"595",1,-94.94,45.605
"596",0,-97.955,37.155
"597",2,-79.75,36.185
"598",3,-96.875,42.14
"599",1,-92.915,45.705
"600",3,-97.825,42.915
"601",3,-97.475,43.025
"602",3,-97.2,43.09
"603",2,-97.285,43.445
"604",2,-90.93,44.355
"605",3,-96.695,43.49
"606",2,-96.275,43.265
"607",2,-89.585,44.84
"608",1,-97.715,39.37
"609",2,-92.885,44.85
"610",0,-103.185,36.045
"611",2,-96.935,29.71
"612",2,-67.24,45.23
"613",1,-72.715,42.65
"614",1,-79.395,39.365
"615",2,-89.07,39.02
"616",2,-95.125,37.15
"617",1,-104.06,45.875
"618",1,-98.985,41.28
"619",2,-98.315,43.015
"620",2,-89.365,43.4
"621",1,-71.29,42.915
"622",0,-106.75,34.545
"623",2,-99.37,43.195
"624",2,-85.275,37.55
"625",2,-97,38.275
"626",2,-95.45,45.47
"627",2,-92.54,45.125
"628",2,-93.805,32.1
"629",2,-81.175,35.7
"630",2,-105.515,47.725
"631",2,-94.135,33.89
"632",1,-96.25,34.95
"633",1,-77.875,38.88
"634",2,-96.555,34.645
"635",2,-76.545,41.5
"636",2,-74.695,44.675
"637",2,-96.355,34.025
"638",3,-99.135,38.93
"639",3,-86.085,39.475
"640",2,-96.06,30.92
"641",1,-96.865,28.69
"642",3,-97.38,28.01
"643",0,-99.65,36.29
"644",3,-85.01,32.775
"645",3,-85.25,32.675
"646",3,-84.84,32.77
"647",3,-85.8,33.85
"648",2,-84.88,31.4
"649",2,-84.84,32.09
"650",2,-85.23,31.93
"651",2,-84.69,32.09
"652",2,-84.525,32.315
"653",2,-84.94,34.1
"654",1,-84.385,32.68
"655",1,-84.95,33.61
"656",2,-84.385,31.84
"657",2,-84.915,31.24
"658",3,-89.125,31.7
"659",2,-88.685,32.91
"660",2,-86.35,35.585
"661",1,-86.725,41.61
"662",3,-84.375,37.695
"663",2,-86.56,36.625
"664",2,-82.835,36.485
"665",2,-84.65,40.2
"666",2,-85.335,39.67
"667",2,-81.575,40.28
"668",2,-81.585,33.865
"669",3,-94.135,39.66
"670",2,-94.195,39.315
"671",2,-77.92,35.625
"672",1,-97.58,33.825
"673",2,-93.63,35.325
"674",2,-90.2,36.075
"675",2,-90.575,35.86
"676",1,-97.7,31.12
"677",2,-89.925,36.215
"678",3,-89.35,36.775
"679",1,-97.61,29.395
"680",1,-94.05,32.505
"681",2,-88.06,34.715
"682",2,-97.305,31.17
"683",1,-86.145,39.785
"684",1,-80.65,40.985
"685",3,-75.545,40.01
"686",2,-84.325,36.11
"687",2,-97.17,33.64
"688",1,-83.04,32.29
"689",1,-82.34,31.75
"690",2,-83.495,31.54
"691",1,-81.055,32.055
"692",2,-93.95,41.85
"693",2,-93.51,36.34
"694",2,-99.435,32.98
"695",3,-96.34,33.605
"696",3,-98.215,33.45
"697",3,-97.095,33.6
"698",2,-96.855,33.41
"699",2,-96.865,33.595
"700",2,-95.285,33.34
"701",0,-96.51,36.585
"702",2,-95.585,34.265
"703",3,-95.475,32.065
"704",1,-95.475,31.4
"705",1,-99.95,38.055
"706",2,-89.5,31.995
"707",2,-89.125,32.255
"708",1,-91.065,43.165
"709",2,-90.025,42.93
"710",2,-89.49,42.865
"711",2,-89.825,42.17
"712",3,-100.05,35.45
"713",2,-88.625,42.75
"714",0,-100.865,45.52
"715",1,-100.12,45.365
"716",2,-99.825,45.955
"717",2,-99.89,45.095
"718",0,-100.815,45.495
"719",2,-100.05,45.145
"720",2,-90.525,42.27
"721",2,-98.5,45.535
"722",2,-99.2,45.31
"723",2,-96.15,44.35
"724",1,-95.135,43.135
"725",1,-90.175,32.295
"726",3,-89.41,36.695
"727",2,-89.8,37.2
"728",2,-90.805,40
"729",2,-94.505,40.535
"730",2,-95.3,40.45
"731",3,-94.335,40.76
"732",2,-91.55,39.05
"733",1,-91.135,39.125
"734",1,-91.06,40.64
"735",2,-86.425,36.475
"736",1,-85.175,35.795
"737",4,-86.975,34.36
"738",1,-84.25,37.765
"739",2,-97.57,38.43
"740",1,-97.36,38.45
"741",1,-88.2,41.9
"742",2,-95.2,41.725
"743",2,-97.3,31.04
"744",2,-97.245,30.755
"745",1,-99.455,34.71
"746",2,-89.89,35.92
"747",0,-102.5,33.43
"748",1,-98.84,32.425
"749",1,-85.435,36.26
"750",1,-101.16,33.04
"751",1,-100.815,32.78
"752",2,-97.06,29.45
"753",1,-100.055,33.6
"754",1,-91.215,35.24
"755",1,-83.65,32.84
"756",1,-101.57,33.37
"757",2,-101.68,33.75
"758",2,-92.975,32.265
"759",1,-84.54,33.95
"760",4,-100.02,35.25
"761",4,-100.11,35.235
"762",4,-99.91,35.485
"763",1,-99.85,36.285
"764",0,-99.845,35.365
"765",2,-99.265,36.045
"766",3,-97.545,36.775
"767",2,-97.285,36.715
"768",5,-97.34,36.86
"769",5,-97.265,36.86
"770",5,-97.325,37.025
"771",5,-96.95,37.165
"772",5,-97.15,36.94
"773",5,-97,37.225
"774",1,-99.465,34.735
"775",2,-99.9,33.485
"776",2,-95.35,38.975
"777",2,-98.49,33.92
"778",1,-97.425,35.31
"779",0,-96.355,34.025
"780",1,-94.725,35.535
"781",1,-94.535,37.1
"782",1,-87.825,41.285
"783",3,-92.835,34.785
"784",1,-96.525,42.35
"785",2,-92.6,34.965
"786",2,-96.96,42.275
"787",2,-94.93,39.725
"788",2,-92.65,40.515
"789",2,-91.28,35.415
"790",0,-99.22,39.79
"791",2,-94.95,38.35
"792",1,-97.41,36.865
"793",2,-85.175,42.435
"794",2,-85.925,40.555
"795",1,-88.79,44.645
"796",1,-98.94,35.5
"797",1,-99.845,34.74
"798",0,-99.35,34.985
"799",2,-98.89,40.52
"800",1,-97.825,39.495
"801",0,-100.225,36.045
"802",1,-98.74,38.2
"803",1,-98.825,33.225
"804",1,-98.815,36.235
"805",0,-101.21,38.89
"806",0,-101.21,38.89
"807",4,-98.03,39.77
"808",4,-98.04,39.76
"809",4,-99.54,37.83
"810",1,-99.54,37.83
"811",1,-99.54,37.83
"812",1,-99.54,37.83
"813",1,-99.54,37.83
"814",1,-99.54,37.83
"815",4,-97.54,40.01
"816",3,-98.59,38.12
"817",3,-98.37,38.265
"818",1,-98.5,36.285
"819",1,-97.74,30.875
"820",2,-99.325,28.03
"821",2,-84.45,43.855
"822",2,-77.36,35.825
"823",2,-98.84,34.76
"824",2,-99.715,36.135
"825",2,-111.805,39.24
"826",1,-100.095,35.935
"827",2,-97.015,42.3
"828",2,-98.675,36.765
"829",3,-100.075,34.865
"830",2,-102.6,40.635
"831",2,-99.055,36.8
"832",1,-84.895,45.165
"833",2,-90.2,34.325
"834",2,-104.7,42.37
"835",4,-103.56,41.85
