"","ab_id","px","pz","des","pitch_id","id","type","stand","batter","hit"
"8392",391568,0.524,2.447,"Foul",1461668,390,"S","R",425509,0
"8393",391568,0.021,3.25,"Foul",1461670,392,"S","R",425509,0
"8394",391579,-0.788,3.319,"Foul",1461712,209,"S","R",425509,0
"8395",391579,0.77,2.693,"In play, out(s)",1461713,210,"X","R",425509,0
"8396",391584,0.142,2.504,"In play, no out",1461744,547,"X","R",425509,1
"8397",391831,0.5,2.967,"In play, out(s)",1462700,37,"X","R",425509,0
"8398",391855,-1.116,2.344,"Foul",1462784,383,"S","R",425509,0
"8399",398379,0.042,1.303,"Foul",1487588,116,"S","R",425509,0
"8400",398405,-0.498,2.443,"Foul",1487694,220,"S","R",425509,0
"8401",398413,-0.289,2.587,"Foul",1487716,612,"S","R",425509,0
"8402",398413,0.21,1.875,"Foul",1487717,613,"S","R",425509,0
"8403",398413,1.151,3.895,"Foul",1487719,615,"S","R",425509,0
"8404",398413,1.431,1.454,"Swinging Strike",1487720,616,"S","R",425509,0
"8405",398446,-0.439,2.964,"Foul",1487842,481,"S","R",425509,0
"8406",398446,0.281,2.16,"In play, out(s)",1487843,482,"X","R",425509,0
"8407",401546,-0.337,2.742,"Foul",1499674,192,"S","R",425509,0
"8408",401555,0.003,2.12,"Foul",1499704,566,"S","R",425509,0
"8409",431170,-1.054,1.814,"Swinging Strike",1613566,76,"S","R",425509,0
"8410",434180,-0.465,2.267,"In play, out(s)",1624953,520,"X","R",425509,0
"8411",436427,0.517,3.487,"Swinging Strike",1633609,349,"S","R",425509,0
"8412",436427,-1.214,2.689,"Foul Tip",1633611,351,"S","R",425509,0
"8413",436449,-0.649,2.952,"In play, out(s)",1633711,514,"X","R",425509,0
"8414",436476,-0.781,3.02,"In play, no out",1633819,168,"X","R",425509,1
"8415",526520,0.6,3.286,"In play, out(s)",1977976,143,"X","R",425509,0
"8416",526547,-0.584,2.726,"Foul",1978084,612,"S","R",425509,0
"8417",526547,0.32,1.672,"Swinging Strike",1978086,614,"S","R",425509,0
"8418",526556,0.582,2.95,"Foul Tip",1978118,758,"S","R",425509,0
"8419",526556,0.546,2.8,"Foul",1978119,759,"S","R",425509,0
"8420",526556,1.462,1.941,"Swinging Strike",1978120,760,"S","R",425509,0
"8421",528396,0.054,2.944,"Swinging Strike",1985056,67,"S","R",425509,0
"8422",528432,-0.139,3.012,"Foul",1985200,199,"S","R",425509,0
"8423",528432,0.231,2.038,"Foul",1985204,203,"S","R",425509,0
"8424",532600,-0.686,3.279,"In play, out(s)",2001180,523,"X","R",425509,0
"8425",535689,-0.523,2.546,"In play, out(s)",2012988,342,"X","R",425509,0
"8426",535706,-0.785,1.751,"Foul",2013054,67,"S","R",425509,0
"8427",535706,-0.062,2.059,"Foul",2013056,70,"S","R",425509,0
"8428",535706,0.788,2.148,"Foul",2013057,71,"S","R",425509,0
"8429",535706,-0.301,3.15,"In play, out(s)",2013059,73,"X","R",425509,0
"8430",535721,-0.788,2.748,"Foul",2013130,628,"S","R",425509,0
"8431",535721,-0.786,1.758,"In play, out(s)",2013131,629,"X","R",425509,0
"8432",535748,-0.399,2.754,"In play, out(s)",2013224,217,"X","R",425509,0
"8433",539842,0,3.005,"In play, out(s)",2028921,102,"X","R",425509,0
"8434",539871,0.7,2.067,"Swinging Strike",2029029,348,"S","R",425509,0
"8435",539871,0.832,2.847,"In play, no out",2029031,350,"X","R",425509,1
"8436",559398,0.115,3.028,"Foul",2103382,36,"S","R",425509,0
"8437",561649,0.034,2.693,"In play, out(s)",2111126,199,"X","R",425509,0
"8438",562020,-0.388,3.172,"Foul",2112602,504,"S","R",425509,0
"8439",572712,0.171,1.629,"Foul",2148651,41,"S","R",425509,0
"8440",572712,-0.526,2.372,"In play, out(s)",2148653,47,"X","R",425509,0
"8441",572718,0.095,3.169,"Swinging Strike",2148675,474,"S","R",425509,0
"8442",572718,0.443,3.113,"Foul",2148677,476,"S","R",425509,0
"8443",572718,1.374,2.298,"Swinging Strike",2148679,478,"S","R",425509,0
"8444",572744,0.564,2.033,"Swinging Strike",2148773,190,"S","R",425509,0
"8445",574064,-0.961,2.824,"In play, out(s)",2153837,648,"X","R",425509,0
"8446",574092,0.776,3.034,"Foul",2153934,325,"S","R",425509,0
"8447",574092,0.108,3.342,"Swinging Strike",2153938,329,"S","R",425509,0
"8448",575257,-0.18,2.877,"Foul",2158379,107,"S","R",425509,0
"8449",575257,0.753,2.468,"Foul",2158381,109,"S","R",425509,0
"8450",575304,-1.399,2.707,"Foul",2158560,253,"S","R",425509,0
"8451",575304,0.05,2.81,"In play, out(s)",2158562,255,"X","R",425509,0
"8452",575311,0.531,1.244,"Swinging Strike",2158588,560,"S","R",425509,0
"8453",801823,-1.548,2.812,"Foul",3023813,547,"S","R",425509,0
"8454",801823,-1.146,2.425,"Foul",3023815,549,"S","R",425509,0
"8455",801823,-1.49,2.572,"Swinging Strike",3023817,551,"S","R",425509,0
"8456",801856,0.289,2.152,"Swinging Strike",3023936,70,"S","R",425509,0
"8457",801863,-0.391,1.717,"Foul",3023964,345,"S","R",425509,0
"8458",805892,-0.775,2.032,"Swinging Strike",3039600,86,"S","R",425509,0
"8459",805892,-0.343,2,"In play, out(s)",3039604,90,"X","R",425509,0
"8460",805907,1.545,2.617,"Foul",3039660,544,"S","R",425509,0
"8461",810057,-0.301,1.962,"In play, no out",3055482,353,"X","R",425509,1
"8462",810064,-1.172,2.99,"Foul",3055504,222,"S","R",425509,0
"8463",810064,0.064,2.251,"In play, no out",3055507,225,"X","R",425509,1
"8464",810108,-0.307,2.124,"Foul",3055664,493,"S","R",425509,0
"8465",810129,-0.005,3.696,"Foul",3055740,644,"S","R",425509,0
"8466",815111,0.797,2.476,"Foul",3074322,47,"S","R",425509,0
"8467",815111,1.748,2.7,"Swinging Strike",3074324,49,"S","R",425509,0
"8468",871263,-0.534,3.329,"In play, no out",3279500,65,"X","R",425509,1
"8469",871273,-0.356,3.62,"Foul",3279548,414,"S","R",425509,0
"8470",880052,0.673,2.326,"Foul",3307442,121,"S","R",425509,0
"8471",880052,-0.403,2.173,"In play, out(s)",3307445,124,"X","R",425509,0
"8472",880063,0.075,2.921,"In play, out(s)",3307486,452,"X","R",425509,0
"8473",880108,0.408,2.523,"In play, out(s)",3307656,594,"X","R",425509,0
"8474",882158,-0.413,3.586,"In play, no out",3315296,276,"X","R",425509,1
"8475",884202,-0.654,3.505,"In play, out(s)",3323120,355,"X","R",425509,0
"8476",888583,0.613,1.652,"In play, no out",3339774,650,"X","R",425509,1
"8477",888626,0.066,1.821,"Foul",3339928,348,"S","R",425509,0
"8478",907171,-0.328,2.484,"Foul",3411211,204,"S","R",425509,0
"8479",907180,-0.066,2.474,"In play, out(s)",3411241,91,"X","R",425509,0
"8480",907189,0.063,2.422,"Foul",3411273,318,"S","R",425509,0
"8481",909057,-0.75,1.28,"Foul",3418397,621,"S","R",425509,0
"8482",909057,0.264,1.692,"In play, no out",3418399,623,"X","R",425509,1
"8483",909068,0.599,2.128,"Swinging Strike",3418439,468,"S","R",425509,0
"8484",913241,0.317,2.022,"In play, out(s)",3434542,194,"X","R",425509,0
"8485",914717,1.184,3.089,"In play, no out",3440274,395,"X","R",425509,1
"8486",916035,1.164,1.477,"Swinging Strike",3445206,191,"S","R",425509,0
"8487",916047,0.326,2.325,"Foul",3445262,59,"S","R",425509,0
"8488",916066,-1.085,2.385,"Swinging Strike",3445326,298,"S","R",425509,0
"8489",916081,0.405,2.792,"Foul",3445390,433,"S","R",425509,0
"8490",917384,-1.116,2.271,"Foul",3450277,73,"S","R",425509,0
"8491",917384,0.7,2.984,"Swinging Strike",3450281,77,"S","R",425509,0
"8492",917392,0.174,2.425,"In play, out(s)",3450307,300,"X","R",425509,0
"8493",917423,-0.522,2.266,"In play, no out",3450394,406,"X","R",425509,1
"8494",917664,0.696,2.782,"In play, no out",3451281,655,"X","R",425509,1
"8495",917680,-1.206,2.356,"Swinging Strike",3451342,242,"S","R",425509,0
"8496",917680,0.89,2.446,"Foul",3451346,246,"S","R",425509,0
"8497",917680,0.193,2.653,"In play, out(s)",3451347,247,"X","R",425509,0
"8498",942223,-0.791,3.007,"Foul",3544374,106,"S","R",425509,0
"8499",942223,0.119,2.601,"In play, no out",3544376,108,"X","R",425509,1
"8500",942256,-0.806,3.447,"Foul",3544502,216,"S","R",425509,0
"8501",942263,0.415,1.059,"Swinging Strike",3544536,558,"S","R",425509,0
"8502",944378,-0.404,1.435,"Swinging Strike",3552586,60,"S","R",425509,0
"8503",944378,-0.177,2.225,"Foul",3552588,62,"S","R",425509,0
"8504",945180,-0.806,3.355,"In play, out(s)",3555658,431,"X","R",425509,0
"8505",945188,-0.973,2.805,"Foul",3555688,567,"S","R",425509,0
"8506",945188,-0.863,2.821,"In play, no out",3555690,569,"X","R",425509,1
"8507",945206,0.142,2.098,"Foul",3555748,80,"S","R",425509,0
"8508",947230,-0.137,2.362,"In play, no out",3563410,484,"X","R",425509,1
"8509",947291,0.111,3.928,"Swinging Strike",3563648,372,"S","R",425509,0
"8510",947302,0.419,2.655,"Foul",3563692,199,"S","R",425509,0
"8511",950447,0.095,2.094,"Foul",3575673,393,"S","R",425509,0
"8512",950447,0.612,1.97,"Foul",3575675,395,"S","R",425509,0
"8513",950447,-0.396,2.956,"Foul",3575676,396,"S","R",425509,0
"8514",950447,0.269,1.102,"Swinging Strike",3575678,398,"S","R",425509,0
"8515",950457,0.154,2.263,"In play, no out",3575711,532,"X","R",425509,1
"8516",950474,-0.317,3.469,"Foul",3575770,98,"S","R",425509,0
"8517",950474,-0.62,2.535,"Foul",3575771,99,"S","R",425509,0
"8518",953547,0.962,2.71,"Foul",3587476,315,"S","R",425509,0
"8519",953547,0.006,2.484,"In play, out(s)",3587478,317,"X","R",425509,0
"8520",953582,-0.634,2.353,"In play, out(s)",3587592,429,"X","R",425509,0
"8521",953588,0.398,3.027,"Foul",3587616,91,"S","R",425509,0
"8522",979021,-0.044,1.633,"In play, out(s)",3685482,532,"X","R",425509,0
